Wall time,Step,Value
1549616279,7,0.311023355
1549616299,17,0.384468347
1549616305,20,0.3795892
1549616317,26,0.368399799
1549616348,42,0.38257575
1549616352,44,0.387847841
1549616356,46,0.377648264
1549616358,47,0.387442172
1549616362,49,0.37568751
1549616374,55,0.383012593
1549616376,56,0.39506942
1549616380,58,0.373149574
1549616398,67,0.374491751
1549616410,73,0.390680701
1549616412,74,0.383814842
1549616414,75,0.393024683
1549616416,76,0.399464011
1549616427,81,0.387519658
1549616444,89,0.407659203
1549616458,96,0.419237077
1549616475,104,0.437574953
1549616481,107,0.447601527
1549616484,108,0.449716389
1549616498,115,0.433057487
1549616509,120,0.43040064
1549616527,128,0.453503668
1549616533,131,0.455354154
1549616535,132,0.452006251
1549616555,141,0.450763822
1549616559,143,0.46527496
1549616561,144,0.467184961
1549616579,152,0.478164673
1549616589,157,0.496450663
1549616593,159,0.488843799
1549616595,160,0.497771919
1549616616,169,0.493222445
1549616618,170,0.489212692
1549616625,173,0.487151682
1549616638,179,0.507449329
1549616640,180,0.49889189
1549616651,185,0.496180832
1549616656,187,0.471125215
1549616659,188,0.472450197
1549616668,192,0.495466769
1549616689,193,0.508883059
1549616704,200,0.503317714
1549616722,208,0.484953254
1549616724,209,0.494270444
1549616726,210,0.497968405
1549616735,214,0.490654558
1549616762,225,0.464351416
1549616776,231,0.46004352
1549616787,236,0.477899998
1549616794,239,0.466420352
1549616824,251,0.484183788
1549616839,257,0.452097058
1549616851,262,0.460238934
1549616857,265,0.444029778
1549616867,269,0.443454504
1549616875,273,0.461742699
1549616880,275,0.490417838
1549616892,280,0.505458534
1549616925,294,0.496952742
1549616937,299,0.512626767
1549616939,300,0.522301614
1549616951,305,0.512430489
1549616960,309,0.514402509
1549616962,310,0.512962282
1549616967,312,0.522843182
1549616985,320,0.535732687
1549616987,321,0.539971948
1549617001,327,0.525500476
1549617003,328,0.529200435
1549617005,329,0.529405415
1549617012,332,0.499999076
1549617032,341,0.519790828
1549617050,349,0.509406507
1549617087,365,0.506695986
1549617096,369,0.494885415
1549617109,375,0.496978313
1549617118,379,0.505847216
1549617123,381,0.483954996
1549617171,393,0.481718153
1549617173,394,0.494483829
1549617208,410,0.512210965
1549617237,423,0.550470471
1549617240,424,0.5485484
1549617244,426,0.561355472
1549617258,432,0.550644517
1549617279,441,0.538471043
1549617284,443,0.546317816
1549617286,444,0.55262351
1549617292,447,0.543534458
1549617305,453,0.542266786
1549617326,462,0.54293412
1549617333,465,0.553158343
1549617335,466,0.544717491
1549617355,475,0.545088172
1549617358,476,0.556204379
1549617392,491,0.575775981
1549617397,493,0.559034765
1549617401,495,0.550630689
1549617439,509,0.562416852
1549617450,514,0.559165835
1549617455,516,0.571518064
1549617462,519,0.553605437
1549617480,527,0.527139008
1549617494,533,0.521563709
1549617498,535,0.531372845
1549617505,538,0.539089501
1549617519,544,0.543985307
1549617529,549,0.536476314
1549617532,550,0.540641189
1549617552,559,0.546979725
1549617556,561,0.55445981
1549617566,565,0.53309983
1549617568,566,0.525102317
1549617580,571,0.547067702
1549617589,575,0.559085846
1549617592,576,0.567239761
1549617624,581,0.559615314
1549617629,583,0.566257179
1549617631,584,0.559631467
1549617636,586,0.556582749
1549617640,588,0.547082067
1549617642,589,0.547061384
1549617654,594,0.550628364
1549617656,595,0.561190546
1549617677,604,0.587316096
1549617691,610,0.584604263
1549617696,612,0.576966941
1549617707,617,0.576227188
1549617718,622,0.571861506
1549617723,624,0.56211406
1549617750,636,0.564309776
1549617767,643,0.594836831
1549617769,644,0.593165636
1549617774,646,0.587026656
1549617776,647,0.587698996
1549617778,648,0.583616614
1549617780,649,0.573692441
1549617785,651,0.564378381
1549617791,654,0.579150617
1549617800,658,0.572268188
1549617811,663,0.591281593
1549617818,666,0.555669248
1549617826,670,0.541697979
1549617833,673,0.533804119
1549617836,674,0.542923689
1549617840,676,0.557268143
1549617843,677,0.56247884
1549617850,680,0.563750148
1549617852,681,0.571437657
1549617860,684,0.574437439
1549617863,685,0.56074369
1549617874,690,0.561946809
1549617876,691,0.560439646
1549617893,698,0.575651705
1549617900,701,0.579743862
1549617910,705,0.613102794
1549617917,708,0.604483187
1549617922,710,0.601506352
1549617926,712,0.604407668
1549617936,716,0.586275339
1549617946,720,0.588338017
1549617953,723,0.579976559
1549617955,724,0.581353903
1549617958,725,0.582593501
1549617960,726,0.577459157
1549617975,732,0.561512232
1549617989,738,0.548762619
1549617994,740,0.555279016
1549617996,741,0.557563603
1549618006,745,0.550834656
1549618015,749,0.555351019
1549618022,752,0.559194624
1549618025,753,0.561087668
1549618027,754,0.567478895
1549618032,756,0.56262666
1549618036,758,0.582602561
1549618059,767,0.575651348
1549618062,768,0.577461243
1549618090,771,0.58253175
1549618092,772,0.582091093
1549618094,773,0.584819496
1549618099,775,0.587141275
1549618101,776,0.586239636
1549618116,782,0.58950156
1549618127,786,0.595184445
1549618129,787,0.591916025
1549618134,789,0.584608197
1549618139,791,0.580563903
1549618147,794,0.574246645
1549618149,795,0.577759504
1549618152,796,0.576233566
1549618154,797,0.582672715
1549618161,800,0.611065328
1549618172,804,0.612949669
1549618179,807,0.633199692
1549618184,809,0.635860503
1549618186,810,0.634774446
1549618189,811,0.624422014
1549618204,817,0.616926789
1549618206,818,0.61929661
1549618219,823,0.611374974
1549618229,827,0.622810602
1549618236,830,0.634513319
1549618246,834,0.643671393
1549618257,838,0.630231559
1549618262,840,0.608925045
1549618275,845,0.616087735
1549618284,848,0.633377969
1549618335,869,0.648392141
1549618340,871,0.66082263
1549618342,872,0.652552843
1549618354,876,0.65399462
1549618359,878,0.632860661
1549618368,882,0.642512083
1549618373,884,0.632778525
1549618378,886,0.631456852
1549618392,892,0.630297422
1549618407,898,0.607522786
1549618417,902,0.610536277
1549618434,909,0.637919247
1549618437,910,0.646002352
1549618440,911,0.647027135
1549618442,912,0.647949398
1549618455,917,0.659065783
1549618460,919,0.659155786
1549618467,922,0.647602677
1549618470,923,0.650029898
1549618472,924,0.652214408
1549618475,925,0.651055455
1549618495,933,0.592180312
1549618497,934,0.597024798
1549618504,937,0.59366858
1549618521,944,0.61261636
1549618529,947,0.617394209
1549618550,956,0.619397938
1549618556,958,0.620462358
1549618558,959,0.625603616
1549618561,960,0.619293272
1549618588,963,0.618121028
1549618591,964,0.610996425
1549618601,968,0.615379393
1549618613,973,0.634525716
1549618616,974,0.638260663
1549618625,978,0.648103416
1549618628,979,0.655168056
1549618631,980,0.658401251
1549618633,981,0.665998638
1549618643,985,0.670150757
1549618646,986,0.675010681
1549618653,989,0.655957758
1549618655,990,0.646611989
1549618675,998,0.661741316
1549618691,1002,0.666854441
1549618696,1004,0.679527104
1549618701,1006,0.673698187
1549618703,1007,0.668828368
1549618723,1014,0.664742529
1549618726,1015,0.663893282
1549618728,1016,0.663128972
1549618735,1019,0.678186655
1549618755,1027,0.662771821
1549618760,1029,0.668407679
1549618769,1033,0.659414113
1549618772,1034,0.662222683
1549618779,1037,0.657604098
1549618784,1039,0.662034333
1549618801,1046,0.688843012
1549618828,1057,0.6832214
1549618833,1059,0.677784324
1549618848,1065,0.682041705
1549618851,1066,0.685712516
1549618856,1068,0.683864594
1549618860,1070,0.674867809
1549618870,1074,0.669282317
1549618880,1078,0.671111465
1549618884,1080,0.669694006
1549618896,1085,0.65578407
1549618899,1086,0.649580657
1549618902,1087,0.653372586
1549618922,1095,0.667556047
1549618937,1101,0.692586541
1549618948,1105,0.67965132
1549618950,1106,0.68981117
1549618953,1107,0.691142559
1549618975,1116,0.684975147
1549618980,1118,0.698736131
1549618987,1121,0.655534923
1549619002,1127,0.689036369
1549619005,1128,0.698257744
1549619023,1135,0.663184166
1549619028,1137,0.676241696
1549619099,1157,0.703554332
1549619101,1158,0.700386405
1549619103,1159,0.689722776
1549619110,1162,0.683401644
1549619113,1163,0.669748962
1549619115,1164,0.665274084
1549619161,1182,0.697586954
1549619168,1185,0.701712728
1549619173,1187,0.713699818
1549619190,1194,0.724944115
1549619192,1195,0.733699679
1549619202,1199,0.733135045
1549619207,1201,0.739464402
1549619212,1203,0.729591131
1549619224,1208,0.718450963
1549619229,1210,0.721320331
1549619233,1212,0.728488207
1549619244,1216,0.741356373
1549619268,1226,0.71156162
1549619288,1234,0.739356101
1549619290,1235,0.734170496
1549619293,1236,0.740440965
1549619298,1238,0.735225916
1549619305,1241,0.733745277
1549619317,1246,0.740439415
1549619324,1249,0.741921008
1549619339,1255,0.747034252
1549619346,1257,0.752129018
1549619351,1259,0.767818272
1549619353,1260,0.766036451
1549619361,1263,0.760424912
1549619365,1265,0.74891293
1549619373,1268,0.74730128
1549619392,1276,0.766775429
1549619411,1283,0.743045032
1549619425,1289,0.740090251
1549619435,1293,0.726495087
1549619437,1294,0.735095561
1549619440,1295,0.728773475
1549619442,1296,0.719958603
1549619456,1302,0.736333489
1549619463,1305,0.751583934
1549619480,1312,0.761960387
1549619485,1314,0.726562858
1549619493,1317,0.733211219
1549619495,1318,0.739577591
1549619504,1321,0.761198938
1549619518,1327,0.765106678
1549619523,1329,0.765673876
1549619530,1332,0.764691889
1549619538,1335,0.769179165
1549619540,1336,0.770386279
1549619545,1338,0.773700356
1549619547,1339,0.777580321
1549619583,1345,0.765532792
1549619613,1357,0.746399999
1549619643,1368,0.764067411
1549619653,1372,0.777512431
1549619670,1379,0.767807961
1549619675,1381,0.768330693
1549619688,1386,0.766669035
1549619690,1387,0.766564608
1549619698,1390,0.768200576
1549619700,1391,0.758567989
1549619707,1393,0.770221293
1549619710,1394,0.763511658
1549619717,1397,0.763787508
1549619760,1414,0.795827448
1549619762,1415,0.799057186
1549619765,1416,0.800401449
1549619777,1421,0.79602766
1549619784,1424,0.802069783
1549619794,1428,0.808320761
1549619796,1429,0.814988673
1549619799,1430,0.810052276
1549619809,1434,0.813669026
1549619812,1435,0.818239629
1549619820,1438,0.811152935
1549619829,1442,0.800198972
1549619834,1444,0.798473656
1549619865,1457,0.792731345
1549619868,1458,0.793145716
1549619889,1467,0.782987297
1549619892,1468,0.792188585
1549619919,1479,0.807573736
1549619947,1487,0.815115333
1549619956,1488,0.817978799
1549619965,1491,0.808853447
1549621711,1493,0.809390008
1549621713,1494,0.812826037
1549621736,1502,0.81085664
1549621738,1503,0.804770947
1549621739,1504,0.803981364
1549621747,1508,0.757743776
1549621751,1510,0.768147469
1549621755,1512,0.762824416
1549621771,1520,0.81287235
1549621781,1525,0.828736126
1549621783,1526,0.828675032
1549621789,1529,0.822869658
1549621804,1536,0.828661859
1549621850,1548,0.845617712
1549621860,1553,0.840112031
1549621862,1554,0.845163345
1549621866,1556,0.850832343
1549621868,1557,0.845436633
1549621880,1563,0.84780854
1549621894,1570,0.837928712
1549621896,1571,0.840073347
1549621914,1580,0.839498222
1549621922,1584,0.840446353
1549621926,1586,0.839980304
1549621934,1590,0.826237619
1549621952,1599,0.807532907
1549621962,1604,0.81910342
1549621966,1606,0.823786259
1549621968,1607,0.813282609
1549621978,1612,0.803791404
1549621994,1620,0.823538959
1549621998,1622,0.842691541
1549622012,1629,0.829637885
1549622014,1630,0.82479912
1549622022,1634,0.836928844
1549622032,1639,0.85516113
1549622038,1642,0.859724939
1549622042,1644,0.859970927
1549622048,1647,0.858840644
1549622054,1650,0.8530792
1549622062,1654,0.850716233
1549622078,1662,0.86357373
1549622094,1670,0.854354262
1549622098,1672,0.85640198
1549622102,1674,0.858060598
1549622108,1677,0.854166806
1549622110,1678,0.856250107
1549622122,1684,0.863218725
1549622124,1685,0.86439687
1549622140,1693,0.85874784
1549622146,1696,0.864527166
1549622148,1697,0.828074455
1549622150,1698,0.828079522
1549622152,1699,0.831209064
1549622156,1701,0.845466852
1549622161,1704,0.846642196
1549622175,1711,0.852587163
1549622177,1712,0.853265941
1549622191,1719,0.866212249
1549622193,1720,0.865528524
1549622195,1721,0.868038177
1549622235,1730,0.85539192
1549622243,1734,0.86158514
1549622247,1736,0.858352721
1549622249,1737,0.849079967
1549622252,1739,0.851036012
1549622263,1744,0.865635276
1549622264,1745,0.863446772
1549622268,1747,0.854860663
1549622271,1748,0.855312109
1549622273,1749,0.852593422
1549622278,1752,0.86302501
1549622282,1754,0.854987741
1549622286,1756,0.866446316
