Wall time,Step,Value
1549616279,7,1.482595563
1549616299,17,1.316911817
1549616305,20,1.330751777
1549616317,26,1.355988145
1549616348,42,1.272975206
1549616352,44,1.260492802
1549616356,46,1.288054109
1549616358,47,1.277832747
1549616362,49,1.306098461
1549616374,55,1.292905331
1549616376,56,1.279531717
1549616380,58,1.335448265
1549616398,67,1.312009573
1549616410,73,1.317665815
1549616412,74,1.319434166
1549616414,75,1.296292663
1549616416,76,1.277774572
1549616427,81,1.301213384
1549616444,89,1.270968676
1549616458,96,1.242519021
1549616475,104,1.212269664
1549616481,107,1.21547401
1549616484,108,1.210273147
1549616498,115,1.20531249
1549616509,120,1.197876334
1549616527,128,1.184297204
1549616533,131,1.176478982
1549616535,132,1.188942671
1549616555,141,1.180474639
1549616559,143,1.163819194
1549616561,144,1.156560421
1549616579,152,1.139557719
1549616589,157,1.130929232
1549616593,159,1.139250159
1549616595,160,1.126097322
1549616616,169,1.160173416
1549616618,170,1.16597271
1549616625,173,1.168407083
1549616638,179,1.145759344
1549616640,180,1.14035964
1549616651,185,1.112110138
1549616656,187,1.145602822
1549616659,188,1.143196702
1549616668,192,1.12572813
1549616689,193,1.103834152
1549616704,200,1.135080934
1549616722,208,1.157007098
1549616724,209,1.140352368
1549616726,210,1.131737471
1549616735,214,1.124414444
1549616762,225,1.137195945
1549616776,231,1.141703486
1549616787,236,1.135391355
1549616794,239,1.117362142
1549616824,251,1.087410331
1549616839,257,1.130255103
1549616851,262,1.132847309
1549616857,265,1.148908377
1549616867,269,1.175650477
1549616875,273,1.13075161
1549616880,275,1.080384493
1549616892,280,1.067555308
1549616925,294,1.095888853
1549616937,299,1.07064724
1549616939,300,1.062591553
1549616951,305,1.058085322
1549616960,309,1.048701763
1549616962,310,1.058685422
1549616967,312,1.036734939
1549616985,320,1.037244201
1549616987,321,1.025776386
1549617001,327,1.054557323
1549617003,328,1.072406888
1549617005,329,1.069016814
1549617012,332,1.105183601
1549617032,341,1.058962941
1549617050,349,1.07289207
1549617087,365,1.077501535
1549617096,369,1.067821145
1549617109,375,1.103531837
1549617118,379,1.085505843
1549617123,381,1.157264829
1549617171,393,1.10626781
1549617173,394,1.083125114
1549617208,410,1.04862833
1549617237,423,0.983335555
1549617240,424,0.98232615
1549617244,426,0.963563561
1549617258,432,0.979429662
1549617279,441,0.979984164
1549617284,443,0.973350763
1549617286,444,0.958893359
1549617292,447,0.965135574
1549617305,453,1.020873785
1549617326,462,1.012412906
1549617333,465,0.995128155
1549617335,466,1.00033927
1549617355,475,0.975554645
1549617358,476,0.9577564
1549617392,491,0.940163553
1549617397,493,0.963957906
1549617401,495,0.961025119
1549617439,509,0.948765457
1549617450,514,0.946347415
1549617455,516,0.93128103
1549617462,519,0.961856782
1549617480,527,1.000335813
1549617494,533,1.00097549
1549617498,535,0.990645349
1549617505,538,0.969091892
1549617519,544,0.954996586
1549617529,549,1.013425708
1549617532,550,0.998337984
1549617552,559,0.993233919
1549617556,561,0.976663351
1549617566,565,0.989222407
1549617568,566,0.981831968
1549617580,571,0.949221194
1549617589,575,0.907495737
1549617592,576,0.89386785
1549617624,581,0.92658186
1549617629,583,0.935341895
1549617631,584,0.944135249
1549617636,586,0.941161215
1549617640,588,0.960640609
1549617642,589,0.95758456
1549617654,594,0.920523286
1549617656,595,0.916891038
1549617677,604,0.884947479
1549617691,610,0.887967527
1549617696,612,0.897687018
1549617707,617,0.913397372
1549617718,622,0.906931341
1549617723,624,0.900775909
1549617750,636,0.894746006
1549617767,643,0.86250478
1549617769,644,0.867035091
1549617774,646,0.870890141
1549617776,647,0.859366238
1549617778,648,0.855611026
1549617780,649,0.876618564
1549617785,651,0.904698372
1549617791,654,0.888884246
1549617800,658,0.901334822
1549617811,663,0.884716213
1549617818,666,0.91406095
1549617826,670,0.937136769
